Kód okresu,Kód obce,Názov okresu,Názov obce,Pohlavie,Ekonomické vekové skupiny,abs.
SK0106,SK0106507890,Okres Malacky,Gajary,žena,predproduktívny vek (0-14 rokov),246
SK0106,SK0106507890,Okres Malacky,Gajary,žena,produktívny vek (15-64 rokov),1009
SK0106,SK0106507890,Okres Malacky,Gajary,žena,poproduktívny vek (65 a viac rokov),298
SK0106,SK0106507954,Okres Malacky,Jablonové (Okres Malacky),muž,predproduktívny vek (0-14 rokov),146
SK0106,SK0106507954,Okres Malacky,Jablonové (Okres Malacky),muž,produktívny vek (15-64 rokov),446
SK0106,SK0106507954,Okres Malacky,Jablonové (Okres Malacky),muž,poproduktívny vek (65 a viac rokov),94
SK0106,SK0106507954,Okres Malacky,Jablonové (Okres Malacky),žena,predproduktívny vek (0-14 rokov),111
SK0106,SK0106507954,Okres Malacky,Jablonové (Okres Malacky),žena,produktívny vek (15-64 rokov),451
SK0106,SK0106507954,Okres Malacky,Jablonové (Okres Malacky),žena,poproduktívny vek (65 a viac rokov),137
SK0106,SK0106507962,Okres Malacky,Jakubov,muž,predproduktívny vek (0-14 rokov),172
SK0106,SK0106507962,Okres Malacky,Jakubov,muž,produktívny vek (15-64 rokov),600
SK0106,SK0106507962,Okres Malacky,Jakubov,muž,poproduktívny vek (65 a viac rokov),118
SK0106,SK0106507962,Okres Malacky,Jakubov,žena,predproduktívny vek (0-14 rokov),151
SK0106,SK0106507962,Okres Malacky,Jakubov,žena,produktívny vek (15-64 rokov),545
SK0106,SK0106507962,Okres Malacky,Jakubov,žena,poproduktívny vek (65 a viac rokov),150
SK0106,SK0106508012,Okres Malacky,Kostolište,muž,predproduktívny vek (0-14 rokov),187
SK0106,SK0106508012,Okres Malacky,Kostolište,muž,produktívny vek (15-64 rokov),598
SK0106,SK0106508012,Okres Malacky,Kostolište,muž,poproduktívny vek (65 a viac rokov),100
SK0106,SK0106508012,Okres Malacky,Kostolište,žena,predproduktívny vek (0-14 rokov),174
SK0106,SK0106508012,Okres Malacky,Kostolište,žena,produktívny vek (15-64 rokov),589
SK0106,SK0106508012,Okres Malacky,Kostolište,žena,poproduktívny vek (65 a viac rokov),120
SK0106,SK0106508021,Okres Malacky,Kuchyňa,muž,predproduktívny vek (0-14 rokov),133
SK0106,SK0106508021,Okres Malacky,Kuchyňa,muž,produktívny vek (15-64 rokov),622
SK0106,SK0106508021,Okres Malacky,Kuchyňa,muž,poproduktívny vek (65 a viac rokov),128
SK0106,SK0106508021,Okres Malacky,Kuchyňa,žena,predproduktívny vek (0-14 rokov),132
SK0106,SK0106508021,Okres Malacky,Kuchyňa,žena,produktívny vek (15-64 rokov),582
SK0106,SK0106508021,Okres Malacky,Kuchyňa,žena,poproduktívny vek (65 a viac rokov),172
SK0106,SK0106508039,Okres Malacky,Láb,muž,predproduktívny vek (0-14 rokov),230
SK0106,SK0106508039,Okres Malacky,Láb,muž,produktívny vek (15-64 rokov),670
SK0106,SK0106508039,Okres Malacky,Láb,muž,poproduktívny vek (65 a viac rokov),122
SK0106,SK0106508039,Okres Malacky,Láb,žena,predproduktívny vek (0-14 rokov),201
SK0106,SK0106508039,Okres Malacky,Láb,žena,produktívny vek (15-64 rokov),661
SK0106,SK0106508039,Okres Malacky,Láb,žena,poproduktívny vek (65 a viac rokov),164
SK0106,SK0106508055,Okres Malacky,Lozorno,muž,predproduktívny vek (0-14 rokov),259
SK0106,SK0106508055,Okres Malacky,Lozorno,muž,produktívny vek (15-64 rokov),1123
SK0106,SK0106508055,Okres Malacky,Lozorno,muž,poproduktívny vek (65 a viac rokov),208
SK0106,SK0106508055,Okres Malacky,Lozorno,žena,predproduktívny vek (0-14 rokov),246
SK0106,SK0106508055,Okres Malacky,Lozorno,žena,produktívny vek (15-64 rokov),1007
SK0106,SK0106508055,Okres Malacky,Lozorno,žena,poproduktívny vek (65 a viac rokov),299
SK0106,SK0106508063,Okres Malacky,Malacky,muž,predproduktívny vek (0-14 rokov),1580
SK0106,SK0106508063,Okres Malacky,Malacky,muž,produktívny vek (15-64 rokov),6365
SK0106,SK0106508063,Okres Malacky,Malacky,muž,poproduktívny vek (65 a viac rokov),1321
SK0106,SK0106508063,Okres Malacky,Malacky,žena,predproduktívny vek (0-14 rokov),1520
SK0106,SK0106508063,Okres Malacky,Malacky,žena,produktívny vek (15-64 rokov),6302
SK0106,SK0106508063,Okres Malacky,Malacky,žena,poproduktívny vek (65 a viac rokov),1847
SK0106,SK0106508080,Okres Malacky,Marianka,muž,predproduktívny vek (0-14 rokov),250
SK0106,SK0106508080,Okres Malacky,Marianka,muž,produktívny vek (15-64 rokov),747
SK0106,SK0106508080,Okres Malacky,Marianka,muž,poproduktívny vek (65 a viac rokov),120
