Zoznam kandidátov na starostu obce,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Politický subjekt,Poznámka
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,6,Samuel,Nerád,,42,zámočník,SME RODINA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,7,Boris,Šimkovič,JUDr.,60,starosta,"Hlas - sociálna demokracia, SMER - SD, SNS",
1,Bratislavský kraj,102,Malacky,106,Malacky,504980,Závod,1,Michal,Duška,Bc.,42,koordinátor výkonu služby,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,504980,Závod,2,Radomír,Ševeček,,57,konateľ,KDH,
1,Bratislavský kraj,102,Malacky,106,Malacky,504980,Závod,3,Zlatica,Šišoláková,Mgr.,49,vedúca odboru vo verejnej správe,NEKA,
1,Bratislavský kraj,102,Malacky,106,Malacky,508381,Zohor,1,Martin,Zálesňák,Bc.,50,starosta,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507806,Báhoň,1,Ivan,Patoprstý,Ing.,57,starosta obce,KDH,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507849,Budmerice,1,Jozef,Babuška,Mgr.,45,štátny zamestnanec,SPOLU,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507849,Budmerice,2,Jozef,Savkuliak,"PhDr., MBA",51,starosta,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507857,Častá,1,Mária,Garajová,Ing.,62,ekonómka,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507857,Častá,2,František,Kašický,"PhDr., Mgr., PhD., MBA, LL.M.",53,diplomat-veľvyslanec,"SMER - SD, Hlas - sociálna demokracia",
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507857,Častá,3,Ľubica,Opálková,Mgr.,50,vedúca oddelenia riadenia financií,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,1,Katarína,Guldanová,Mgr.,51,vedúca zamestnankyňa pri výkone práce vo verejnom záujme,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,2,Igor,Chládek,,55,vedúci prenosového voza v televízii,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,3,Vladimír,Schwarz,Ing.,56,obchodno technický manažér,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,4,František,Zigo,Ing.,57,výsluhový dôchodca,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507881,Dubová,1,Marcel,Magát,,52,živnostník,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507881,Dubová,2,Ľudovít,Ružička,,55,starosta,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507946,Jablonec,1,Ján,Dzíbela,Ing.,44,nezamestnaný,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507946,Jablonec,2,Michal,Križan,,39,živnostník-elektrikár,NEKA,X
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507946,Jablonec,3,Slavomír,Pocisk,,43,starosta,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508047,Limbach,1,Adriana,Čechovičová,Bc.,54,starostka obce,SOM Slovensko,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508047,Limbach,2,Branislav,Kalman,JUDr.,49,živnostník,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508101,Modra,1,Ján,Chalabala,,58,výsluhový dôchodca,KSS,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508101,Modra,2,Juraj,Petrakovič,Mgr.,53,primátor,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,1,Rastislav,Blaško,"PhDr., Mgr.",51,prezident športového klubu,NK/NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,2,Miroslav,Holzmann,Mgr.,46,manažér,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,3,Roman,Mács,JUDr.,51,riaditeľ spoločnosti,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,4,Božena,Mizerová,Mgr.,68,pedagogička,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,5,Eva,Pilátová,DiS.,50,ekonómka,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,6,Slavomír,Repka,,58,novinár,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,7,Michal,Svátek,"Ing., PhD.",43,manažér,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,8,Mária,Wagingerová,Mgr.,47,zástupkyňa primátora,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508187,Píla,1,Radovan,Mičunek,"RNDr., Ing., Mgr., PhD.",41,starosta,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508225,Slovenský Grob,1,Štefan,Gašparovič,JUDr.,48,starosta,Hlas - sociálna demokracia,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508225,Slovenský Grob,2,Tomáš,Lukačovský,Mgr.,29,"politológ,odborník na európske politiky,predseda občianskeho združenia,zakladateľ iniciatívy",NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507989,Svätý Jur,1,Šimon,Gabura,Ing.,42,primátor mesta,KDH,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507989,Svätý Jur,2,Adriana,Uhríková,Ing.,52,ekonómka,SME RODINA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508250,Šenkvice,1,Robert,Benčurik,,41,podnikateľ,NEKA,
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508250,Šenkvice,2,Michal,Kakalík,Ing.,41,hlavný radca ministerstva,NEKA,
